q2_birthyear,q3_gender,q4_province,q6_satisfied_democracy,q9_interest_election,q10_certain_vote,q11_vote_intention,q14_feeling_liberal_party,q15_feeling_cons_party
1961,(2) Female,(9) Alberta,(3) Not very satisfied,(8),(1) Certain,(-8) Refused,60,3
1948,(1) Male,(9) Alberta,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,100
1965,(1) Male,(9) Alberta,(4) Not satisfied at all,(7),(1) Certain,(-9) Don't know / Undecided,20,54
1975,(2) Female,(9) Alberta,(4) Not satisfied at all,(8),(1) Certain,(-9) Don't know / Undecided,10,60
1965,(1) Male,(9) Alberta,(4) Not satisfied at all,(2),(3) Unlikely,"(3) NDP (New Democratic Party, New Democrats, NDPers)",50,50
1986,(2) Female,(9) Alberta,(1) Very satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",55,50
1936,(2) Female,(9) Alberta,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,80
1967,(2) Female,(9) Alberta,(4) Not satisfied at all,(10) Great deal of interest,(1) Certain,(-8) Refused,0,NA
1970,(1) Male,(9) Alberta,(4) Not satisfied at all,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,5
1960,(2) Female,(9) Alberta,(1) Very satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,100
1963,(1) Male,(9) Alberta,(3) Not very satisfied,(7),(1) Certain,(5) Green Party (Greens),10,10
1977,(1) Male,(5) Quebec,(2) Fairly satisfied,(0) No interest at all,(1) Certain,(-9) Don't know / Undecided,0,0
1957,(1) Male,(5) Quebec,(4) Not satisfied at all,(5),(1) Certain,(-9) Don't know / Undecided,30,75
1960,(1) Male,(5) Quebec,(3) Not very satisfied,(8),(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",10,10
1951,(2) Female,(5) Quebec,(2) Fairly satisfied,(5),(2) Likely,(-9) Don't know / Undecided,40,60
1985,(2) Female,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,20,40
1953,(1) Male,(5) Quebec,(2) Fairly satisfied,(5),(1) Certain,(-9) Don't know / Undecided,50,50
1960,(2) Female,(5) Quebec,(3) Not very satisfied,(6),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",5,60
1956,(1) Male,(5) Quebec,(2) Fairly satisfied,(9),(1) Certain,(-9) Don't know / Undecided,50,60
1968,(2) Female,(5) Quebec,(1) Very satisfied,(7),(1) Certain,(1) Liberal (Grits),80,30
1982,(2) Female,(5) Quebec,(2) Fairly satisfied,(9),(1) Certain,(-9) Don't know / Undecided,70,0
1948,(2) Female,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),80,20
1954,(2) Female,(5) Quebec,(2) Fairly satisfied,(3),(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",5,0
1951,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(2) Likely,(-9) Don't know / Undecided,50,NA
1959,(1) Male,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(-8) Refused,25,27
1968,(2) Female,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),70,50
1982,(1) Male,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),70,60
1948,(2) Female,(5) Quebec,(3) Not very satisfied,(0) No interest at all,(2) Likely,(-8) Refused,0,0
1975,(2) Female,(5) Quebec,(3) Not very satisfied,(8),(1) Certain,(1) Liberal (Grits),90,30
1975,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),85,80
1962,(1) Male,(5) Quebec,(2) Fairly satisfied,(9),(5) Already voted in advanced poll,(1) Liberal (Grits),80,50
1984,(1) Male,(5) Quebec,(1) Very satisfied,(6),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",60,80
1937,(1) Male,(5) Quebec,(3) Not very satisfied,(8),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",10,75
1949,(1) Male,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(-8) Refused,20,40
1960,(2) Female,(5) Quebec,(4) Not satisfied at all,(6),(1) Certain,(1) Liberal (Grits),60,45
1970,(1) Male,(5) Quebec,(1) Very satisfied,(5),(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",70,60
1948,(2) Female,(5) Quebec,(3) Not very satisfied,(3),(1) Certain,(-9) Don't know / Undecided,30,30
1939,(2) Female,(5) Quebec,(3) Not very satisfied,(5),(1) Certain,(-9) Don't know / Undecided,0,NA
1943,(2) Female,(5) Quebec,(2) Fairly satisfied,(5),(1) Certain,(1) Liberal (Grits),70,10
1958,(2) Female,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,75,50
1950,(2) Female,(5) Quebec,(2) Fairly satisfied,(4),(1) Certain,(-9) Don't know / Undecided,75,0
1980,(2) Female,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),80,40
1972,(2) Female,(5) Quebec,(3) Not very satisfied,(7),(1) Certain,(-9) Don't know / Undecided,40,40
1954,(1) Male,(5) Quebec,(3) Not very satisfied,(8),(1) Certain,(1) Liberal (Grits),70,0
1981,(2) Female,(5) Quebec,(2) Fairly satisfied,(3),(1) Certain,(-9) Don't know / Undecided,50,40
1980,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(5) Green Party (Greens),60,0
1979,(2) Female,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(-9) Don't know / Undecided,60,20
1927,(2) Female,(5) Quebec,(3) Not very satisfied,(8),(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",25,20
1945,(2) Female,(5) Quebec,(4) Not satisfied at all,(9),(1) Certain,(7) Other,2,45
1943,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-8) Refused,42,40
1956,(1) Male,(5) Quebec,(2) Fairly satisfied,(5),(4) Certain not to vote,NA,90,70
1966,(1) Male,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(-9) Don't know / Undecided,50,40
1954,(1) Male,(5) Quebec,(1) Very satisfied,(8),(1) Certain,(-9) Don't know / Undecided,40,65
1988,(2) Female,(5) Quebec,(2) Fairly satisfied,(5),(1) Certain,(-9) Don't know / Undecided,85,75
1978,(1) Male,(5) Quebec,(3) Not very satisfied,(8),(1) Certain,(5) Green Party (Greens),50,40
1937,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,NA,NA
1968,(1) Male,(5) Quebec,(3) Not very satisfied,(5),(2) Likely,(-9) Don't know / Undecided,40,0
1938,(2) Female,(5) Quebec,(2) Fairly satisfied,(3),(3) Unlikely,"(3) NDP (New Democratic Party, New Democrats, NDPers)",75,NA
1972,(1) Male,(1) Newfoundland and Labrador,(2) Fairly satisfied,(9),(1) Certain,(1) Liberal (Grits),85,50
1967,(1) Male,(1) Newfoundland and Labrador,(2) Fairly satisfied,(6),(-9) Don't know,NA,50,0
1996,(2) Female,(6) Ontario,(2) Fairly satisfied,(2),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",60,80
1967,(2) Female,(1) Newfoundland and Labrador,(1) Very satisfied,(5),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",65,45
1941,(1) Male,(1) Newfoundland and Labrador,(2) Fairly satisfied,(9),(1) Certain,(-9) Don't know / Undecided,70,75
2000,(1) Male,(1) Newfoundland and Labrador,(2) Fairly satisfied,(4),(2) Likely,(1) Liberal (Grits),75,50
1975,(1) Male,(1) Newfoundland and Labrador,(2) Fairly satisfied,(6),(2) Likely,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,75
1969,(2) Female,(1) Newfoundland and Labrador,(2) Fairly satisfied,(5),(1) Certain,(-9) Don't know / Undecided,40,0
1980,(2) Female,(1) Newfoundland and Labrador,(1) Very satisfied,(0) No interest at all,(1) Certain,(-9) Don't know / Undecided,50,60
1982,(1) Male,(9) Alberta,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",50,80
1970,(1) Male,(1) Newfoundland and Labrador,(2) Fairly satisfied,(9),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",30,90
1981,(2) Female,(1) Newfoundland and Labrador,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,NA,NA
1951,(2) Female,(1) Newfoundland and Labrador,(2) Fairly satisfied,(9),(2) Likely,(1) Liberal (Grits),75,25
1956,(1) Male,(1) Newfoundland and Labrador,(1) Very satisfied,(10) Great deal of interest,(5) Already voted in advanced poll,(1) Liberal (Grits),75,30
1977,(2) Female,(1) Newfoundland and Labrador,(2) Fairly satisfied,(9),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",65,70
1974,(2) Female,(1) Newfoundland and Labrador,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",50,10
1961,(1) Male,(1) Newfoundland and Labrador,(3) Not very satisfied,(10) Great deal of interest,(2) Likely,(-9) Don't know / Undecided,10,40
1989,(2) Female,(1) Newfoundland and Labrador,(2) Fairly satisfied,(6),(1) Certain,(-9) Don't know / Undecided,6,5
1993,(1) Male,(2) Prince Edward Island,(4) Not satisfied at all,(5),(1) Certain,(5) Green Party (Greens),18,0
1957,(2) Female,(2) Prince Edward Island,(1) Very satisfied,(8),(1) Certain,(-9) Don't know / Undecided,70,5
1987,(1) Male,(2) Prince Edward Island,(2) Fairly satisfied,(4),(2) Likely,(-9) Don't know / Undecided,70,45
1996,(2) Female,(10) British Columbia,(2) Fairly satisfied,(6),(1) Certain,(-9) Don't know / Undecided,70,40
1996,(1) Male,(2) Prince Edward Island,(2) Fairly satisfied,(2),(3) Unlikely,(-9) Don't know / Undecided,40,60
1964,(1) Male,(2) Prince Edward Island,(1) Very satisfied,(7),(1) Certain,(1) Liberal (Grits),90,25
1988,(1) Male,(2) Prince Edward Island,(2) Fairly satisfied,(6),(1) Certain,(-9) Don't know / Undecided,50,40
1948,(1) Male,(6) Ontario,(2) Fairly satisfied,(9),(2) Likely,(1) Liberal (Grits),90,10
1969,(2) Female,(2) Prince Edward Island,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,80,40
1962,(1) Male,(2) Prince Edward Island,(1) Very satisfied,(9),(1) Certain,(1) Liberal (Grits),90,50
1941,(1) Male,(3) Nova Scotia,(2) Fairly satisfied,(9),(1) Certain,(-9) Don't know / Undecided,50,50
1959,(2) Female,(2) Prince Edward Island,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),95,5
1977,(1) Male,(2) Prince Edward Island,(2) Fairly satisfied,(2),(4) Certain not to vote,NA,40,75
1988,(2) Female,(2) Prince Edward Island,(2) Fairly satisfied,(9),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,100
1989,(2) Female,(2) Prince Edward Island,(2) Fairly satisfied,(6),(1) Certain,(-9) Don't know / Undecided,30,70
1992,(2) Female,(2) Prince Edward Island,(2) Fairly satisfied,(4),(2) Likely,(-9) Don't know / Undecided,60,60
1969,(1) Male,(2) Prince Edward Island,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,40,40
1968,(2) Female,(2) Prince Edward Island,(2) Fairly satisfied,(5),(1) Certain,(5) Green Party (Greens),50,40
1959,(2) Female,(2) Prince Edward Island,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),85,30
1943,(2) Female,(2) Prince Edward Island,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),85,0
1974,(1) Male,(2) Prince Edward Island,(2) Fairly satisfied,(9),(1) Certain,(1) Liberal (Grits),55,45
1959,(1) Male,(2) Prince Edward Island,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,10,6
1952,(2) Female,(2) Prince Edward Island,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),75,0
1984,(1) Male,(2) Prince Edward Island,(3) Not very satisfied,(6),(1) Certain,(-9) Don't know / Undecided,0,0
1953,(2) Female,(6) Ontario,(2) Fairly satisfied,(6),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",45,60
1969,(1) Male,(3) Nova Scotia,(2) Fairly satisfied,(6),(2) Likely,(-9) Don't know / Undecided,20,25
1957,(1) Male,(3) Nova Scotia,(1) Very satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),90,25
1956,(2) Female,(3) Nova Scotia,(4) Not satisfied at all,(10) Great deal of interest,(1) Certain,(9) None of these,75,50
1953,(1) Male,(3) Nova Scotia,(1) Very satisfied,(8),(1) Certain,(1) Liberal (Grits),85,60
1976,(1) Male,(3) Nova Scotia,(2) Fairly satisfied,(7),(5) Already voted in advanced poll,(1) Liberal (Grits),86,0
1972,(2) Female,(3) Nova Scotia,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),50,0
1943,(1) Male,(3) Nova Scotia,(2) Fairly satisfied,(8),(1) Certain,(-8) Refused,75,75
1954,(1) Male,(3) Nova Scotia,(1) Very satisfied,(8),(1) Certain,(1) Liberal (Grits),80,25
1997,(1) Male,(3) Nova Scotia,(2) Fairly satisfied,(7),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",65,0
1980,(2) Female,(3) Nova Scotia,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,(-9) Don't know / Undecided,50,0
1993,(1) Male,(3) Nova Scotia,(2) Fairly satisfied,(7),(2) Likely,"(3) NDP (New Democratic Party, New Democrats, NDPers)",90,60
1933,(1) Male,(3) Nova Scotia,(1) Very satisfied,(8),(1) Certain,(-9) Don't know / Undecided,0,70
1969,(2) Female,(3) Nova Scotia,(2) Fairly satisfied,(7),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",20,80
1991,(2) Female,(3) Nova Scotia,(3) Not very satisfied,(7),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",60,0
1958,(1) Male,(3) Nova Scotia,(3) Not very satisfied,(8),(1) Certain,(5) Green Party (Greens),60,0
1943,(1) Male,(3) Nova Scotia,(1) Very satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),75,30
1977,(1) Male,(3) Nova Scotia,(2) Fairly satisfied,(4),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",30,70
1946,(2) Female,(4) New Brunswick,(2) Fairly satisfied,(8),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,70
1994,(2) Female,(4) New Brunswick,(1) Very satisfied,(2),(3) Unlikely,(1) Liberal (Grits),75,25
1953,(1) Male,(4) New Brunswick,(2) Fairly satisfied,(7),(1) Certain,(5) Green Party (Greens),60,65
1995,(1) Male,(4) New Brunswick,(2) Fairly satisfied,(5),(2) Likely,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",40,70
1974,(2) Female,(4) New Brunswick,(2) Fairly satisfied,(7),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",40,80
1989,(1) Male,(4) New Brunswick,(2) Fairly satisfied,(8),(1) Certain,(5) Green Party (Greens),70,5
1996,(1) Male,(4) New Brunswick,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),75,60
1998,(2) Female,(3) Nova Scotia,(3) Not very satisfied,(7),(1) Certain,(5) Green Party (Greens),60,45
1951,(1) Male,(4) New Brunswick,(2) Fairly satisfied,(7),(1) Certain,(-8) Refused,10,50
1999,(2) Female,(4) New Brunswick,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),65,25
1980,(1) Male,(5) Quebec,(3) Not very satisfied,(6),(2) Likely,(-9) Don't know / Undecided,60,50
1985,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,70,50
1964,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(-8) Refused,80,30
1991,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),68,20
1961,(2) Female,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),60,60
1976,(2) Female,(5) Quebec,(1) Very satisfied,(3),(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",60,55
1973,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(-9) Don't know / Undecided,50,50
1969,(1) Male,(5) Quebec,(1) Very satisfied,(7),(1) Certain,(1) Liberal (Grits),80,30
1986,(1) Male,(5) Quebec,(2) Fairly satisfied,(9),(1) Certain,(6) People's Party,50,80
1953,(1) Male,(5) Quebec,(1) Very satisfied,(10) Great deal of interest,(2) Likely,(1) Liberal (Grits),70,40
1980,(2) Female,(5) Quebec,(2) Fairly satisfied,(0) No interest at all,(2) Likely,(-9) Don't know / Undecided,50,0
1960,(1) Male,(5) Quebec,(2) Fairly satisfied,(5),(1) Certain,(-9) Don't know / Undecided,50,50
1992,(1) Male,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(-9) Don't know / Undecided,80,80
1960,(1) Male,(5) Quebec,(1) Very satisfied,(7),(1) Certain,(-9) Don't know / Undecided,80,35
1984,(2) Female,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,75,0
1959,(1) Male,(5) Quebec,(3) Not very satisfied,(8),(1) Certain,(1) Liberal (Grits),40,25
1985,(1) Male,(5) Quebec,(4) Not satisfied at all,(5),(4) Certain not to vote,NA,70,25
1980,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,50,20
1953,(1) Male,(5) Quebec,(2) Fairly satisfied,(5),(2) Likely,(6) People's Party,40,50
1965,(2) Female,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),75,40
1971,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",50,80
1956,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,70,40
1988,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(7) Other,40,80
1965,(1) Male,(5) Quebec,(1) Very satisfied,(7),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",45,75
1999,(1) Male,(5) Quebec,(2) Fairly satisfied,(0) No interest at all,(2) Likely,(-9) Don't know / Undecided,50,NA
1980,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,20,50
1995,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(1) Liberal (Grits),90,25
1988,(2) Female,(5) Quebec,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,(6) People's Party,0,0
1948,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),70,NA
1981,(2) Female,(5) Quebec,(2) Fairly satisfied,(5),(2) Likely,(1) Liberal (Grits),60,40
1996,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",50,75
1964,(2) Female,(5) Quebec,(1) Very satisfied,(8),(1) Certain,(1) Liberal (Grits),80,50
1978,(1) Male,(5) Quebec,(1) Very satisfied,(7),(1) Certain,(-9) Don't know / Undecided,45,60
1949,(1) Male,(5) Quebec,(1) Very satisfied,(6),(1) Certain,(-8) Refused,NA,NA
1965,(1) Male,(5) Quebec,(2) Fairly satisfied,(5),(2) Likely,(5) Green Party (Greens),50,40
1979,(1) Male,(5) Quebec,(1) Very satisfied,(9),(1) Certain,(-9) Don't know / Undecided,43,74
1955,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(-8) Refused,70,30
1965,(1) Male,(5) Quebec,(3) Not very satisfied,(5),(1) Certain,(-9) Don't know / Undecided,30,50
1977,(1) Male,(5) Quebec,(1) Very satisfied,(8),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",60,10
1979,(1) Male,(5) Quebec,(2) Fairly satisfied,(9),(1) Certain,(1) Liberal (Grits),72,30
1998,(1) Male,(5) Quebec,(2) Fairly satisfied,(5),(1) Certain,(5) Green Party (Greens),75,65
1969,(1) Male,(5) Quebec,(2) Fairly satisfied,(6),(2) Likely,(-8) Refused,50,NA
1951,(2) Female,(5) Quebec,(1) Very satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),100,0
1981,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),70,15
1975,(1) Male,(5) Quebec,(2) Fairly satisfied,(5),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",30,0
1974,(1) Male,(5) Quebec,(3) Not very satisfied,(5),(2) Likely,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",20,75
2000,(1) Male,(5) Quebec,(2) Fairly satisfied,(6),(2) Likely,(-9) Don't know / Undecided,4,4
2000,(2) Female,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,40,35
1988,(2) Female,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),100,60
1979,(2) Female,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",60,20
1974,(1) Male,(5) Quebec,(4) Not satisfied at all,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,75
1997,(1) Male,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(2) Likely,(-9) Don't know / Undecided,65,65
1957,(1) Male,(5) Quebec,(4) Not satisfied at all,(5),(2) Likely,(-9) Don't know / Undecided,25,10
1991,(2) Female,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),90,50
1989,(1) Male,(5) Quebec,(1) Very satisfied,(9),(1) Certain,(1) Liberal (Grits),95,60
1955,(1) Male,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(1) Liberal (Grits),75,30
1963,(2) Female,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(-9) Don't know / Undecided,70,0
1983,(2) Female,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),80,50
1945,(1) Male,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,100
1991,(2) Female,(5) Quebec,(4) Not satisfied at all,(10) Great deal of interest,(5) Already voted in advanced poll,(5) Green Party (Greens),45,0
1948,(1) Male,(5) Quebec,(3) Not very satisfied,(0) No interest at all,(4) Certain not to vote,NA,0,0
1964,(2) Female,(5) Quebec,(3) Not very satisfied,(5),(1) Certain,(-9) Don't know / Undecided,30,35
1989,(1) Male,(5) Quebec,(2) Fairly satisfied,(4),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",75,10
1976,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(1) Liberal (Grits),50,40
1999,(2) Female,(5) Quebec,(2) Fairly satisfied,(6),(2) Likely,(1) Liberal (Grits),90,3
1972,(1) Male,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),75,65
1943,(2) Female,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(-9) Don't know / Undecided,75,40
1980,(1) Male,(5) Quebec,(4) Not satisfied at all,(5),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",15,25
1992,(2) Female,(5) Quebec,(3) Not very satisfied,(6),(1) Certain,(5) Green Party (Greens),40,5
1961,(1) Male,(5) Quebec,(3) Not very satisfied,(7),(3) Unlikely,(1) Liberal (Grits),75,20
1950,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,40,70
1985,(2) Female,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(1) Liberal (Grits),60,20
1975,(2) Female,(5) Quebec,(1) Very satisfied,(4),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",30,60
1990,(1) Male,(5) Quebec,(2) Fairly satisfied,(8),(1) Certain,(-9) Don't know / Undecided,80,30
1980,(2) Female,(5) Quebec,(1) Very satisfied,(7),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",30,90
1952,(1) Male,(5) Quebec,(2) Fairly satisfied,(9),(1) Certain,(-9) Don't know / Undecided,75,75
1991,(1) Male,(5) Quebec,(2) Fairly satisfied,(9),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,50
1964,(1) Male,(5) Quebec,(2) Fairly satisfied,(5),(2) Likely,(-9) Don't know / Undecided,60,40
1949,(1) Male,(5) Quebec,(2) Fairly satisfied,(9),(1) Certain,(1) Liberal (Grits),90,0
1980,(2) Female,(5) Quebec,(3) Not very satisfied,(7),(1) Certain,(-9) Don't know / Undecided,20,0
1964,(1) Male,(5) Quebec,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",50,80
1969,(2) Female,(5) Quebec,(2) Fairly satisfied,(9),(1) Certain,(-8) Refused,60,50
1958,(1) Male,(5) Quebec,(3) Not very satisfied,(8),(1) Certain,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",30,60
1967,(1) Male,(5) Quebec,(4) Not satisfied at all,(10) Great deal of interest,(5) Already voted in advanced poll,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",0,50
1974,(1) Male,(6) Ontario,(3) Not very satisfied,(10) Great deal of interest,(1) Certain,(1) Liberal (Grits),90,0
1980,(1) Male,(5) Quebec,(2) Fairly satisfied,(6),(1) Certain,(-9) Don't know / Undecided,70,NA
1979,(1) Male,(5) Quebec,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,(5) Green Party (Greens),65,45
1977,(2) Female,(5) Quebec,(2) Fairly satisfied,(7),(1) Certain,(1) Liberal (Grits),85,55
1972,(2) Female,(5) Quebec,(3) Not very satisfied,(2),(2) Likely,(-9) Don't know / Undecided,40,40
1996,(1) Male,(5) Quebec,(2) Fairly satisfied,(4),(2) Likely,"(4) Bloc Québécois (BQ, PQ, Bloc, Parti Québécois)",NA,NA
1993,(1) Male,(5) Quebec,(2) Fairly satisfied,(3),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",55,65
1997,(1) Male,(6) Ontario,(2) Fairly satisfied,(10) Great deal of interest,(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",72,4
1968,(2) Female,(6) Ontario,(2) Fairly satisfied,(8),(1) Certain,"(3) NDP (New Democratic Party, New Democrats, NDPers)",60,60
1956,(2) Female,(6) Ontario,(3) Not very satisfied,(6),(1) Certain,"(2) Conservatives (Tory, PCs, Conservative Party of Canada)",30,60
1959,(1) Male,(6) Ontario,(3) Not very satisfied,(4),(1) Certain,(-9) Don't know / Undecided,50,0
